id,activity,speaker,segment_num,words_sum,num_utt_sum,mlu_w,language,speech
20001,ods,CHI,8,36,26,1.3846153846153846,english,all
20003,ods,CHI,11,1,1,1,english,all
20003,play,ADULTS,11,178,60,2.966666666666667,english,all
20003,play,CHI,11,12,12,1,english,all
20003,routines,ADULTS,11,246,70,3.5142857142857142,english,all
20003,routines,CHI,11,17,16,1.0625,english,all
20003,books,ADULTS,12,146,42,3.4761904761904763,english,all
20003,books,CHI,12,25,16,1.5625,english,all
20003,ods,ADULTS,12,52,16,3.25,english,all
20003,ods,CHI,12,2,2,1,english,all
20003,play,ADULTS,12,88,24,3.6666666666666665,english,all
20003,play,CHI,12,9,8,1.125,english,all
20003,ac,ADULTS,14,2,2,1,english,all
20003,ods,ADULTS,14,46,14,3.2857142857142856,english,all
20003,ods,CHI,14,22,19,1.1578947368421053,english,all
20003,routines,ADULTS,14,162,47,3.4468085106382977,english,all
20003,routines,CHI,14,10,8,1.25,english,all
20003,ac,ADULTS,15,9,1,9,english,all
20003,ac,CHI,15,1,1,1,english,all
20003,books,ADULTS,15,132,49,2.693877551020408,english,all
20003,books,CHI,15,28,24,1.1666666666666667,english,all
20003,ods,CHI,15,2,2,1,english,all
20003,food,ADULTS,16,78,24,3.25,english,all
20003,food,CHI,16,7,6,1.1666666666666667,english,all
20003,ods,ADULTS,16,20,7,2.857142857142857,english,all
20003,ods,CHI,16,2,2,1,english,all
20003,routines,ADULTS,16,101,39,2.58974358974359,english,all
20003,routines,CHI,16,9,8,1.125,english,all
20003,ac,ADULTS,19,14,5,2.8,english,all
20003,ac,CHI,19,1,1,1,english,all
20003,food,ADULTS,19,1,1,1,english,all
20003,routines,ADULTS,19,253,64,3.953125,english,all
20003,routines,CHI,19,16,13,1.2307692307692308,english,all
20004,ac,ADULTS,10,72,22,3.272727272727273,english,all
20004,ac,CHI,10,7,5,1.4,english,all
20004,ods,ADULTS,10,113,31,3.6451612903225805,english,all
20004,ods,CHI,10,18,15,1.2,english,all
20004,play,ADULTS,10,178,64,2.78125,english,all
20004,play,CHI,10,20,18,1.1111111111111112,english,all
20004,ac,ADULTS,11,136,40,3.4,english,all
20004,ac,CHI,11,12,10,1.2,english,all
20004,ods,ADULTS,11,573,152,3.7697368421052633,english,all
20004,ods,CHI,11,14,11,1.2727272727272727,english,all
20004,ac,ADULTS,13,18,5,3.6,english,all
20004,ac,CHI,13,1,1,1,english,all
20004,conv,ADULTS,13,15,10,1.5,english,all
20004,food,ADULTS,13,48,16,3,english,all
20004,food,CHI,13,8,8,1,english,all
