"","activity","id","rectime","segment_num","language","dur_min","Dur10minval","AWCval","Time","Date","dur_10min","tcds_min"
"153","conv","20108",22496,13,"english",0.1986,600,269,16.25,"2011.06.05",10,7.43106666666667
"154","ac","20108",22496,13,"english",7.23246666666667,600,269,16.25,"2011.06.05",10,7.43106666666667
"155","food","20108",27296,1,"english",2.41211666666667,600,624,17.45,"2011.06.05",10,2.41211666666667
"156","conv","20108",14096,2,"english",0.898816666666667,600,429,14.05,"2011.06.05",10,3.82411666666667
"157","ac","20108",14096,2,"english",0.307583333333333,600,429,14.05,"2011.06.05",10,3.82411666666667
"158","play","20108",14096,2,"english",2.61771666666667,600,429,14.05,"2011.06.05",10,3.82411666666667
"159","food","20108",7796,5,"english",1.9971,600,335,12.2,"2011.06.05",10,6.81876666666667
"160","routines","20108",7796,5,"english",4.12835,600,335,12.2,"2011.06.05",10,6.81876666666667
"161","conv","20108",7796,5,"english",0.693316666666667,600,335,12.2,"2011.06.05",10,6.81876666666667
"162","play","20112",17703,1,"english",0.406666666666667,600,879,13.2,"2011.09.21",10,9.89475
"163","routines","20112",17703,1,"english",4.32466666666667,600,879,13.2,"2011.09.21",10,9.89475
"164","conv","20112",17703,1,"english",4.626,600,879,13.2,"2011.09.21",10,9.89475
"165","ac","20112",17703,1,"english",0.537416666666667,600,879,13.2,"2011.09.21",10,9.89475
"166","conv","20112",17103,2,"english",9.53195,600,637,13.1,"2011.09.21",10,9.55248333333333
"167","play","20112",17103,2,"english",0.0205333333333333,600,637,13.1,"2011.09.21",10,9.55248333333333
"168","play","20112",4203,3,"english",9.09058333333333,600,575,9.35,"2011.09.21",10,9.09058333333333
"169","ac","20112",23703,4,"english",1.5736,600,541,15,"2011.09.21",10,4.16111666666667
"170","conv","20112",23703,4,"english",0.14535,600,541,15,"2011.09.21",10,4.16111666666667
"171","routines","20112",23703,4,"english",2.252,600,541,15,"2011.09.21",10,4.16111666666667
"172","play","20112",23703,4,"english",0.190166666666667,600,541,15,"2011.09.21",10,4.16111666666667
"173","play","20112",3,5,"english",7.04923333333333,600,495,8.25,"2011.09.21",10,7.04923333333333
"174","conv","20112",19503,6,"english",5.1973,600,482,13.5,"2011.09.21",10,6.79973333333333
"175","food","20112",19503,6,"english",1.60243333333333,600,482,13.5,"2011.09.21",10,6.79973333333333
"176","ac","20113",14481,11,"english",0.85795,600,224,12.55,"2011.09.25",10,1.90975
"177","food","20113",14481,11,"english",0.219816666666667,600,224,12.55,"2011.09.25",10,1.90975
"178","conv","20113",14481,11,"english",0.831983333333333,600,224,12.55,"2011.09.25",10,1.90975
"179","ac","20113",24851,12,"english",1.93613333333333,600,198,20.25,"2011.09.25",10,3.78046666666666
"180","conv","20113",24851,12,"english",1.84433333333333,600,198,20.25,"2011.09.25",10,3.78046666666666
"181","conv","20113",1506,13,"english",2.22006666666667,600,184,16.4,"2011.09.23",10,8.30228333333334
"182","play","20113",1506,13,"english",6.08221666666667,600,184,16.4,"2011.09.23",10,8.30228333333334
"183","routines","20113",17893,2,"english",0.3655,600,470,16.4,"2011.09.25",10,0.8369
"184","ac","20113",17893,2,"english",0.4714,600,470,16.4,"2011.09.25",10,0.8369
"185","ac","20113",7881,6,"english",0.0092,600,388,11.05,"2011.09.25",10,6.95305
"186","play","20113",7881,6,"english",6.94385,600,388,11.05,"2011.09.25",10,6.95305
"187","routines","20113",6081,9,"english",2.17983333333333,600,258,10.35,"2011.09.25",10,5.62295
"188","conv","20113",6081,9,"english",2.5575,600,258,10.35,"2011.09.25",10,5.62295
"189","ac","20113",6081,9,"english",0.885616666666667,600,258,10.35,"2011.09.25",10,5.62295
"190","ac","20114",2255,11,"english",0.0365833333333333,600,368,9.05,"2011.08.28",10,7.32621666666667
"191","conv","20114",2255,11,"english",0.486433333333333,600,368,9.05,"2011.08.28",10,7.32621666666667
"192","routines","20114",2255,11,"english",6.8032,600,368,9.05,"2011.08.28",10,7.32621666666667
"193","books","20114",9455,13,"english",4.92256666666667,600,330,11.05,"2011.08.28",10,6.18738333333334
"194","ac","20114",9455,13,"english",0.582533333333333,600,330,11.05,"2011.08.28",10,6.18738333333334
"195","routines","20114",9455,13,"english",0.682283333333333,600,330,11.05,"2011.08.28",10,6.18738333333334
"196","books","20114",40955,1,"english",3.68383333333333,600,533,19.5,"2011.08.28",10,8.69725
"197","ac","20114",40955,1,"english",5.01341666666667,600,533,19.5,"2011.08.28",10,8.69725
"198","routines","20114",34355,6,"english",0.359616666666667,600,403,18,"2011.08.28",10,4.96981666666667
"199","conv","20114",34355,6,"english",4.42825,600,403,18,"2011.08.28",10,4.96981666666667
"200","ac","20114",34355,6,"english",0.18195,600,403,18,"2011.08.28",10,4.96981666666667
"201","conv","20114",7055,7,"english",0.653033333333333,600,396,10.25,"2011.08.28",10,1.70401666666667
"202","ac","20114",7055,7,"english",0.20215,600,396,10.25,"2011.08.28",10,1.70401666666667
"203","routines","20114",7055,7,"english",0.848833333333333,600,396,10.25,"2011.08.28",10,1.70401666666667
"204","ac","20114",7655,8,"english",1.84055,600,392,10.35,"2011.08.28",10,3.43206666666667
"205","routines","20114",7655,8,"english",1.59151666666667,600,392,10.35,"2011.08.28",10,3.43206666666667
"206","conv","20117",6529,12,"english",5.02535,600,426,7.35,"2011.10.02",10,6.3581
"207","ac","20117",6529,12,"english",0.07785,600,426,7.35,"2011.10.02",10,6.3581
"208","play","20117",6529,12,"english",1.2549,600,426,7.35,"2011.10.02",10,6.3581
"209","routines","20117",3,18,"english",0.732,526,357,5.45,"2011.10.02",8.76666666666667,7.33236666666667
"210","ac","20117",3,18,"english",5.11471666666667,526,357,5.45,"2011.10.02",8.76666666666667,7.33236666666667
"211","food","20117",3,18,"english",1.48565,526,357,5.45,"2011.10.02",8.76666666666667,7.33236666666667
"212","ac","20117",1729,23,"english",8.84501666666667,600,316,6.15,"2011.10.02",10,8.84501666666667
"213","ac","20117",13729,27,"english",2.07545,600,261,9.35,"2011.10.02",10,4.15806666666667
"214","play","20117",13729,27,"english",2.08261666666667,600,261,9.35,"2011.10.02",10,4.15806666666667
"215","ac","20117",20329,31,"english",0.391333333333333,600,229,11.25,"2011.10.02",10,1.81066666666666
"216","conv","20117",20329,31,"english",0.2021,600,229,11.25,"2011.10.02",10,1.81066666666666
"217","routines","20117",20329,31,"english",1.21723333333333,600,229,11.25,"2011.10.02",10,1.81066666666666
"218","ac","20117",4129,34,"english",0.0274,600,199,6.55,"2011.10.02",10,1.16138333333333
"219","conv","20117",4129,34,"english",1.13398333333333,600,199,6.55,"2011.10.02",10,1.16138333333333
"220","play","20121",1212,1,"english",4.24378333333333,600,452,19.25,"2011.08.29",10,4.31341666666666
"221","ac","20121",1212,1,"english",0.0696333333333333,600,452,19.25,"2011.08.29",10,4.31341666666666
"222","ac","20121",6612,3,"english",0.596316666666667,600,347,20.55,"2011.08.29",10,5.41148333333334
"223","conv","20121",6612,3,"english",2.35625,600,347,20.55,"2011.08.29",10,5.41148333333334
"224","play","20121",6612,3,"english",2.45891666666667,600,347,20.55,"2011.08.29",10,5.41148333333334
"225","ac","20121",12,4,"english",4.14318333333333,600,338,19.05,"2011.08.29",10,9.64856666666666
"226","play","20121",12,4,"english",5.50538333333333,600,338,19.05,"2011.08.29",10,9.64856666666666
"227","food","20121",24820,7,"english",0.0627,600,137,10.05,"2011.08.30",10,0.99485
"228","play","20121",24820,7,"english",0.93215,600,137,10.05,"2011.08.30",10,0.99485
"229","ac","20121",5112,8,"english",0.269283333333333,600,127,20.3,"2011.08.29",10,3.32885
"230","conv","20121",5112,8,"english",3.05956666666667,600,127,20.3,"2011.08.29",10,3.32885
"231","ac","20121",19120,9,"english",0.389733333333333,600,102,8.3,"2011.08.30",10,1.09726666666667
"232","routines","20121",19120,9,"english",0.707533333333333,600,102,8.3,"2011.08.30",10,1.09726666666667
"233","routines","20122",17957,2,"english",3.19666666666667,600,553,10.55,"2011.08.03",10,8.55213333333333
"234","play","20122",17957,2,"english",4.72573333333333,600,553,10.55,"2011.08.03",10,8.55213333333333
"235","ac","20122",17957,2,"english",0.629733333333333,600,553,10.55,"2011.08.03",10,8.55213333333333
"236","routines","20122",10457,4,"english",9.70125,600,339,8.5,"2011.08.03",10,9.70125
"237","ac","20122",23657,6,"english",6.51831666666667,600,229,12.3,"2011.08.03",10,6.51831666666667
"238","play","20122",27557,7,"english",2.58515,600,227,13.35,"2011.08.03",10,3.5655
"239","ac","20122",27557,7,"english",0.98035,600,227,13.35,"2011.08.03",10,3.5655
"240","ac","20122",13457,8,"english",5.63773333333333,600,220,9.4,"2011.08.03",10,5.63773333333333
"241","ac","20122",14657,9,"english",6.23806666666667,600,217,10,"2011.08.03",10,6.23806666666667
"242","conv","20127",6733,11,"english",0.5673,600,383,7.5,"2011.08.03",10,6.81118333333334
"243","food","20127",6733,11,"english",2.97255,600,383,7.5,"2011.08.03",10,6.81118333333334
"244","routines","20127",6733,11,"english",3.17831666666667,600,383,7.5,"2011.08.03",10,6.81118333333334
"245","ac","20127",6733,11,"english",0.0930166666666667,600,383,7.5,"2011.08.03",10,6.81118333333334
"246","routines","20127",0,14,"english",0.25655,554,311,8.3,"2011.07.21",9.23333333333333,2.93645
"247","food","20127",0,14,"english",2.6799,554,311,8.3,"2011.07.21",9.23333333333333,2.93645
"248","conv","20127",5533,15,"english",0.72235,600,305,7.3,"2011.08.03",10,9.71026666666667
"249","food","20127",5533,15,"english",8.98791666666667,600,305,7.3,"2011.08.03",10,9.71026666666667
"250","books","20127",1754,1,"english",3.48101666666667,600,1242,9,"2011.07.21",10,8.83133333333334
"251","play","20127",1754,1,"english",5.35031666666667,600,1242,9,"2011.07.21",10,8.83133333333334
"252","ac","20127",1154,7,"english",0.0235,600,508,8.5,"2011.07.21",10,5.60631666666666
"253","play","20127",1154,7,"english",4.47778333333333,600,508,8.5,"2011.07.21",10,5.60631666666666
"254","books","20127",1154,7,"english",1.10503333333333,600,508,8.5,"2011.07.21",10,5.60631666666666
"255","conv","20127",46633,8,"english",3.2029,600,448,18.55,"2011.08.03",10,4.29776666666667
"256","routines","20127",46633,8,"english",1.09486666666667,600,448,18.55,"2011.08.03",10,4.29776666666667
"257","play","20128",935,2,"english",9.12028333333333,600,357,9.25,"2011.08.31",10,9.12028333333333
"258","conv","20128",4535,3,"english",6.00008333333333,600,331,10.25,"2011.08.31",10,7.99318333333333
"259","ac","20128",4535,3,"english",1.9931,600,331,10.25,"2011.08.31",10,7.99318333333333
"260","ac","20128",36935,4,"english",1.12098333333333,600,292,19.25,"2011.08.31",10,1.36085
"261","food","20128",36935,4,"english",0.239866666666667,600,292,19.25,"2011.08.31",10,1.36085
"262","routines","20128",35,6,"english",1.76865,600,256,9.1,"2011.08.31",10,9.409
"263","conv","20128",35,6,"english",1.9921,600,256,9.1,"2011.08.31",10,9.409
"264","ac","20128",35,6,"english",0.212283333333333,600,256,9.1,"2011.08.31",10,9.409
"265","play","20128",35,6,"english",5.43596666666667,600,256,9.1,"2011.08.31",10,9.409
"266","conv","20128",1835,7,"english",2.70763333333333,600,241,9.4,"2011.08.31",10,9.81331666666666
"267","play","20128",1835,7,"english",7.10568333333333,600,241,9.4,"2011.08.31",10,9.81331666666666
"268","conv","20128",15335,8,"english",3.52693333333333,600,238,13.25,"2011.08.31",10,8.71551666666666
"269","play","20128",15335,8,"english",2.55748333333333,600,238,13.25,"2011.08.31",10,8.71551666666666
"270","food","20128",15335,8,"english",1.68541666666667,600,238,13.25,"2011.08.31",10,8.71551666666666
"271","ac","20128",15335,8,"english",0.945683333333333,600,238,13.25,"2011.08.31",10,8.71551666666666
"272","ac","20129",39304,28,"english",5.66826666666667,600,218,18.25,"2011.08.02",10,5.66826666666667
"273","routines","20129",36604,34,"english",1.27543333333333,600,102,17.4,"2011.08.02",10,1.27543333333333
"274","ac","20129",45304,37,"english",5.92765,600,94,20.05,"2011.08.02",10,5.92765
"275","conv","20129",304,38,"english",0.109333333333333,600,80,7.35,"2011.08.02",10,1.87856666666666
"276","ac","20129",304,38,"english",1.76923333333333,600,80,7.35,"2011.08.02",10,1.87856666666666
"277","ac","20129",40204,40,"english",4.43323333333333,600,79,18.4,"2011.08.02",10,4.43323333333333
"278","ac","20129",44704,42,"english",6.21421666666667,600,57,19.55,"2011.08.02",10,6.21421666666667
"279","books","20132",42453,1,"english",10,600,1352,21.4,"2011.08.28",10,10
"280","conv","20132",40053,3,"english",4.4699,600,631,21,"2011.08.28",10,7.24446666666667
"281","ac","20132",40053,3,"english",2.77456666666667,600,631,21,"2011.08.28",10,7.24446666666667
