id,rectime,speaker,Speaker2,activity,segment_num,language,speech,n_speakers
20204,13996,MOT,ADULTS,play,11,english,all,1
20204,12796,CHI,CHI,play,13,english,all,1
20204,12796,FAT,ADULTS,play,13,english,all,1
20204,20083,CHI,CHI,play,20,english,all,1
20204,20083,MOT,ADULTS,play,20,english,all,1
20224,7441,CHI,CHI,play,3,english,all,1
20224,7441,MOT,ADULTS,play,3,english,all,2
20224,7441,FAT,ADULTS,play,3,english,all,2
20224,8341,CHI,CHI,play,5,english,all,1
20224,8341,MOT,ADULTS,play,5,english,all,1
20224,40141,CHI,CHI,play,7,english,all,1
20224,40141,MOT,ADULTS,play,7,english,all,2
20224,40141,FAT,ADULTS,play,7,english,all,2
20233,34502,CHI,CHI,play,13,english,all,1
20233,34502,MOT,ADULTS,play,13,english,all,3
20233,34502,GMA,ADULTS,play,13,english,all,3
20233,34502,GFA,ADULTS,play,13,english,all,3
20233,33302,CHI,CHI,play,15,english,all,1
20233,33302,MOT,ADULTS,play,15,english,all,3
20233,33302,FAT,ADULTS,play,15,english,all,3
20233,33302,GFA,ADULTS,play,15,english,all,3
20233,27902,CHI,CHI,play,16,english,all,1
20233,27902,MOT,ADULTS,play,16,english,all,2
20233,27902,GFA,ADULTS,play,16,english,all,2
20233,40202,CHI,CHI,play,8,english,all,1
20233,40202,MOT,ADULTS,play,8,english,all,4
20233,40202,FAT,ADULTS,play,8,english,all,4
20233,40202,GMA,ADULTS,play,8,english,all,4
20233,40202,GFA,ADULTS,play,8,english,all,4
20236,3332,CHI,CHI,play,4,english,all,1
20236,3332,MOT,ADULTS,play,4,english,all,1
20242,5097,CHI,CHI,play,1,english,all,1
20242,5097,MOT,ADULTS,play,1,english,all,1
20251,26614,CHI,CHI,play,2,english,all,1
20251,26614,FAT,ADULTS,play,2,english,all,1
20251,10665,CHI,CHI,play,3,english,all,1
20251,10665,GMA,ADULTS,play,3,english,all,1
20251,6165,CHI,CHI,play,6,english,all,1
20251,6165,GMA,ADULTS,play,6,english,all,1
20251,7065,CHI,CHI,play,7,english,all,1
20251,7065,GMA,ADULTS,play,7,english,all,1
20251,34620,CHI,CHI,play,9,english,all,1
20251,34620,MOT,ADULTS,play,9,english,all,1
20001,15242,CHI,CHI,conv,2,english,all,1
20001,15242,FAT,ADULTS,conv,2,english,all,1
20001,14342,CHI,CHI,conv,3,english,all,1
20001,14342,GMA,ADULTS,conv,3,english,all,3
20001,14342,MOT,ADULTS,conv,3,english,all,3
20001,14342,FAT,ADULTS,conv,3,english,all,3
20001,21242,CHI,CHI,conv,4,english,all,1
20001,21242,FAT,ADULTS,conv,4,english,all,1
20001,15842,CHI,CHI,conv,7,english,all,1
20001,15842,MOT,ADULTS,conv,7,english,all,3
20001,15842,FAT,ADULTS,conv,7,english,all,3
20001,15842,GMA,ADULTS,conv,7,english,all,3
20001,8942,CHI,CHI,conv,8,english,all,1
20001,8942,MOT,ADULTS,conv,8,english,all,3
20001,8942,GMA,ADULTS,conv,8,english,all,3
20001,8942,GFA,ADULTS,conv,8,english,all,3
20004,5169,CHI,CHI,conv,13,english,all,1
20004,5169,MOT,ADULTS,conv,13,english,all,1
20007,7905,CHI,CHI,conv,14,english,all,1
20007,7905,FAT,ADULTS,conv,14,english,all,1
20007,15191,CHI,CHI,conv,15,english,all,1
20007,15191,MOT,ADULTS,conv,15,english,all,2
20007,15191,FAT,ADULTS,conv,15,english,all,2
20007,6705,CHI,CHI,conv,17,english,all,1
20007,6705,FAT,ADULTS,conv,17,english,all,1
20007,13563,CHI,CHI,conv,22,english,all,1
20007,13563,MOT,ADULTS,conv,22,english,all,2
20007,13563,FAT,ADULTS,conv,22,english,all,2
20034,21499,CHI,CHI,conv,2,english,all,1
20034,21499,MOT,ADULTS,conv,2,english,all,1
20041,19599,CHI,CHI,conv,14,english,all,1
20041,19599,MOT,ADULTS,conv,14,english,all,1
20041,27399,CHI,CHI,conv,20,english,all,1
20041,27399,MOT,ADULTS,conv,20,english,all,2
20041,27399,FAT,ADULTS,conv,20,english,all,2
20048,3648,CHI,CHI,conv,12,english,all,1
20048,3648,MOT,ADULTS,conv,12,english,all,1
20048,24910,CHI,CHI,conv,13,english,all,1
20048,24910,MOT,ADULTS,conv,13,english,all,1
20050,31120,CHI,CHI,conv,3,english,all,1
20050,31120,MOT,ADULTS,conv,3,english,all,2
20050,31120,FAT,ADULTS,conv,3,english,all,2
20056,29376,CHI,CHI,conv,2,english,all,1
20056,29376,MOT,ADULTS,conv,2,english,all,1
20056,9276,CHI,CHI,conv,4,english,all,1
20056,9276,MOT,ADULTS,conv,4,english,all,1
20056,42773,CHI,CHI,conv,5,english,all,1
20056,42773,MOT,ADULTS,conv,5,english,all,2
